doc_id,item,category,amount,price,discount
NE56499,порошок для детского белья 400гр,стиральные порошки,5,465.21,625.24
NE56499,детское мыло 100г,мыло,1,61.2,0.0
NE56499,детское мыло 100г,мыло,5,48.88,8.46
NE56499,детское мыло 100г,мыло,5,66.29,0.0
CT49015,порошок для цветного 200гр,стиральные порошки,1,449.64,0.0
NL44891,банное мыло 150гр,мыло,4,127.34,0.0
NL44891,порошок для деликатных тканей 800гр,стиральные порошки,3,844.42,0.0
NL44891,порошок для цветного 200гр,стиральные порошки,4,400.96,0.0
BW13459,порошок для детского белья 400гр,стиральные порошки,4,461.8,82.2
BW13459,хозяйственное мыло 200гр,мыло,3,100.65,0.0
LX77322,жидкое мыло 500мл,мыло,5,281.93,0.0
LX77322,порошок для детского белья 400гр,стиральные порошки,2,457.58,0.0
PH31465,порошок для детского белья 400гр,стиральные порошки,5,552.22,0.0
PH31465,банное мыло 150гр,мыло,1,126.66,0.0
PH31465,банное мыло 150гр,мыло,2,98.61,30.86
XC90466,жидкий порошок 1л,стиральные порошки,4,692.92,0.0
PT10399,порошок для детского белья 400гр,стиральные порошки,3,551.47,0.0
RN55908,банное мыло 150гр,мыло,3,113.37,0.0
RN55908,порошок для детского белья 400гр,стиральные порошки,3,412.34,321.75
FC56781,порошок для детского белья 400гр,стиральные порошки,3,405.05,0.0
FC56781,жидкое мыло 500мл,мыло,3,283.13,0.0
FC56781,порошок для цветного 200гр,стиральные порошки,5,556.7,0.0
FC56781,банное мыло 150гр,мыло,3,131.45,0.0
SL34056,порошок для деликатных тканей 800гр,стиральные порошки,2,892.19,0.0
SL34056,жидкое мыло 500мл,мыло,5,316.2,0.0
LD21537,порошок для детского белья 400гр,стиральные порошки,3,575.65,0.0
LD21537,банное мыло 150гр,мыло,1,124.39,0.0
LD21537,жидкое мыло 500мл,мыло,3,405.71,0.0
SA61648,детское мыло 100г,мыло,4,48.39,0.0
SA61648,порошок для детского белья 400гр,стиральные порошки,3,579.36,0.0
DN44728,порошок для детского белья 400гр,стиральные порошки,3,469.79,0.0
DN44728,порошок для цветного 200гр,стиральные порошки,3,546.32,0.0
MX90690,банное мыло 150гр,мыло,1,105.67,0.0
